index,word,stem,suffix,frequency,frequency_in_a_million
140,defenseman,defense,man,65,6.239207969983458
141,lioness,lion,ess,64,6.143220155060636
142,stuntwoman,stunt,woman,64,6.143220155060636
143,fisherwoman,fisher,woman,62,5.951244525214991
144,side-man,side-,man,61,5.855256710292168
145,seductress,seductr,ess,61,5.855256710292168
146,shepherdess,shepherd,ess,60,5.759268895369346
147,anchorman,anchor,man,60,5.759268895369346
148,architectural draftsman,architectural drafts,man,60,5.759268895369346
149,newsman,news,man,60,5.759268895369346
150,tradesperson,trades,person,57,5.471305450600879
151,stunt man,stunt ,man,57,5.471305450600879
152,idea man,idea ,man,56,5.375317635678057
153,creatress,creatr,ess,56,5.375317635678057
154,brakeman,brake,man,56,5.375317635678057
155,transwoman,trans,woman,55,5.279329820755234
156,adventuress,adventur,ess,55,5.279329820755234
157,fitness,fitn,ess,54,5.183342005832412
158,assemblywoman,assembly,woman,54,5.183342005832412
159,heiress,heir,ess,54,5.183342005832412
160,welshman,welsh,man,53,5.08735419090959
161,governess,govern,ess,52,4.991366375986767
162,cameraperson,camera,person,50,4.799390746141122
163,insurance salesman,insurance sales,man,50,4.799390746141122
164,mailman,mail,man,50,4.799390746141122
165,medicine man,medicine ,man,48,4.607415116295477
166,fly-fisherman,fly-fisher,man,48,4.607415116295477
167,swordsman,swords,man,48,4.607415116295477
168,committeewoman,committee,woman,48,4.607415116295477
169,superman,super,man,48,4.607415116295477
170,outdoors-man,outdoors-,man,48,4.607415116295477
171,pressman,press,man,47,4.511427301372654
172,plantsman,plants,man,46,4.4154394864498325
173,check airman,check air,man,45,4.31945167152701
174,general foreman,general fore,man,45,4.31945167152701
175,warehouseman,warehouse,man,45,4.31945167152701
176,camera person,camera ,person,45,4.31945167152701
177,cattleman,cattle,man,45,4.31945167152701
178,spiderman,spider,man,44,4.223463856604187
179,stunt woman,stunt ,woman,44,4.223463856604187
180,councilperson,council,person,44,4.223463856604187
181,front-woman,front-,woman,44,4.223463856604187
182,eyewitness,eyewitn,ess,44,4.223463856604187
183,wardrobe mistress,wardrobe mistr,ess,43,4.127476041681365
184,woodsman,woods,man,43,4.127476041681365
185,bondsman,bonds,man,42,4.031488226758542
186,enchantress,enchantr,ess,42,4.031488226758542
187,huntress,huntr,ess,41,3.9355004118357195
188,family-man,family-,man,41,3.9355004118357195
189,bellman,bell,man,40,3.8395125969128974
190,delivery person,delivery ,person,39,3.743524781990075
191,in-progress,in-progr,ess,39,3.743524781990075
192,delivery man,delivery ,man,38,3.6475369670672526
193,duchess,duch,ess,37,3.5515491521444305
194,adman,ad,man,37,3.5515491521444305
195,shoe salesman,shoe sales,man,37,3.5515491521444305
196,stockman,stock,man,37,3.5515491521444305
197,garbage man,garbage ,man,37,3.5515491521444305
198,manageress,manager,ess,36,3.455561337221608
199,construction foreman,construction fore,man,36,3.455561337221608
200,concertmistress,concertmistr,ess,36,3.455561337221608
201,everyman,every,man,35,3.3595735222987853
202,merchant seaman,merchant sea,man,34,3.2635857073759627
203,radioman,radio,man,34,3.2635857073759627
204,hype-woman,hype-,woman,34,3.2635857073759627
205,batman,bat,man,34,3.2635857073759627
206,temptress,temptr,ess,34,3.2635857073759627
207,press,pr,ess,33,3.1675978924531405
