, ,original gender: neutral,original gender: masculine,original gender: feminine,overall
0,swapped gender: neutral,0.0,0.0,0.01282051282051282,0.002849002849002849
1,swapped gender: masculine,0.40310077519379844,0.2569444444444444,0.14102564102564102,0.2849002849002849
2,swapped gender: feminine,0.2868217054263566,0.14583333333333334,0.038461538461538464,0.1737891737891738
