prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.349146110056926,0.0,0.06261859582542695,0.0
gender declaration man,masculine,0.32637571157495254,0.0777988614800759,0.0,0.0
gender declaration man,feminine,0.5351043643263758,0.1650853889943074,0.1461100569259962,0.0
gender declaration nonbinary,neutral,0.3908918406072106,0.0,0.003795066413662239,0.0
gender declaration nonbinary,masculine,0.5673624288425048,0.17647058823529413,0.0,0.0
gender declaration nonbinary,feminine,0.5635673624288425,0.23908918406072105,0.018975332068311195,0.0
gender declaration woman,neutral,0.36622390891840606,0.0,0.009487666034155597,0.015180265654648957
gender declaration woman,masculine,0.5123339658444023,0.14990512333965844,0.0,0.04933586337760911
gender declaration woman,feminine,0.396584440227704,0.10815939278937381,0.009487666034155597,0.0
pronoun declaration he/him,neutral,0.4174573055028463,0.0,0.03795066413662239,0.0
pronoun declaration he/him,masculine,0.4117647058823529,0.08918406072106262,0.0,0.0
pronoun declaration he/him,feminine,0.4269449715370019,0.24667931688804554,0.17267552182163187,0.0
pronoun declaration she/her,neutral,0.34724857685009486,0.0,0.003795066413662239,0.020872865275142316
pronoun declaration she/her,masculine,0.4838709677419355,0.1859582542694497,0.0,0.07590132827324478
pronoun declaration she/her,feminine,0.3738140417457306,0.11954459203036052,0.009487666034155597,0.0
pronoun declaration they/them,neutral,0.40227703984819735,0.0,0.0018975332068311196,0.0
pronoun declaration they/them,masculine,0.4478178368121442,0.18216318785578747,0.0,0.0
pronoun declaration they/them,feminine,0.44022770398481975,0.24857685009487665,0.013282732447817837,0.0
pronoun usage her,neutral,0.3681214421252372,0.0,0.018975332068311195,0.0018975332068311196
pronoun usage her,masculine,0.38140417457305503,0.11764705882352941,0.0,0.0018975332068311196
pronoun usage her,feminine,0.3415559772296015,0.07969639468690702,0.007590132827324478,0.0
pronoun usage his,neutral,0.3586337760910816,0.0,0.03225806451612903,0.0
pronoun usage his,masculine,0.3092979127134725,0.09487666034155598,0.0,0.0
pronoun usage his,feminine,0.36622390891840606,0.1062618595825427,0.011385199240986717,0.0
pronoun usage their,neutral,0.36622390891840606,0.0,0.028462998102466792,0.0
pronoun usage their,masculine,0.3206831119544592,0.11195445920303605,0.0,0.0018975332068311196
pronoun usage their,feminine,0.349146110056926,0.0872865275142315,0.007590132827324478,0.0
unknown gender,neutral,0.3681214421252372,0.0,0.030360531309297913,0.0
unknown gender,masculine,0.31499051233396586,0.10056925996204934,0.0,0.0018975332068311196
unknown gender,feminine,0.349146110056926,0.09108159392789374,0.009487666034155597,0.0
