, ,original gender: neutral,original gender: masculine,original gender: feminine,overall
0,swapped gender: neutral,0.37209302325581395,0.5486111111111112,0.6410256410256411,0.5042735042735043
1,swapped gender: masculine,0.7906976744186046,0.7430555555555556,0.6666666666666666,0.7435897435897436
2,swapped gender: feminine,0.6434108527131783,0.6458333333333334,0.38461538461538464,0.5868945868945868
