, ,original gender: neutral,original gender: masculine,original gender: feminine,overall
0,swapped gender: neutral,0.0,0.0,0.0,0.0
1,swapped gender: masculine,0.5038759689922481,0.2847222222222222,0.07692307692307693,0.3190883190883191
2,swapped gender: feminine,0.4263565891472868,0.24305555555555555,0.02564102564102564,0.2621082621082621
