index,stem,words,total_frequency
238,dray,['drayman'],110
239,king,['kingman'],107
240,wasser,['wasserman'],106
241,cash,['cashman'],105
242,scher,['scherman'],104
243,wax,['waxman'],104
244,berry,['berryman'],104
245,gintle,['gintleman'],103
246,wald,['waldman'],103
247,shear,['shearman'],101
248,fine,['fineman'],101
249,bor,['borman'],99
250,rosen,['rosenman'],98
251,syng,['syngman'],98
252,plains,['plainsman'],98
253,signal,['signalman'],97
254,sugar,['sugarman'],97
255,jar,['jarman'],97
256,runci,['runciman'],96
257,space,['spaceman'],96
258,bridg,['bridgman'],96
259,bats,['batsman'],96
260,perel,['perelman'],96
261,subhu,['subhuman'],95
262,beck,['beckman'],94
263,bau,['bauman'],94
264,stead,['steadman'],94
265,bell,['bellman'],94
266,le,['leman'],93
267,gut,['gutman'],92
268,over,['overman'],92
269,mil,['milman'],91
270,hin,['hinman'],91
271,druk,['drukman'],90
272,klans,['klansman'],90
273,way,['wayman'],90
274,slee,['sleeman'],90
275,radio,['radioman'],89
276,oster,['osterman'],88
277,outdoors,['outdoorsman'],87
278,grooms,['groomsman'],87
279,silber,['silberman'],87
280,india,['indiaman'],87
281,cod,['codman'],87
282,ter,['terman'],86
283,kreider,['kreiderman'],86
284,heit,['heitman'],86
285,kauff,['kauffman'],86
286,dorf,['dorfman'],85
287,huff,['huffman'],85
288,top,['topman'],84
289,cad,['cadman'],84
290,quit,['quitman'],84
291,elli,['elliman'],83
292,he,['heman'],82
293,schur,['schurman'],82
294,gate,['gateman'],80
295,dooms,['doomsman'],79
296,nodel,['nodelman'],79
297,ale,['aleman'],78
298,rich,['richman'],78
299,soly,['solyman'],77
300,kid,['kidman'],77
301,fleisch,['fleischman'],76
302,heese,['heeseman'],76
303,drago,['dragoman'],76
304,pen,['penman'],76
305,gott,['gottman'],75
306,keller,['kellerman'],75
307,seid,['seidman'],74
308,kettle,['kettleman'],74
309,pretty,['prettyman'],74
310,oklaho,['oklahoman'],73
311,truck,['truckman'],73
312,all,['allman'],73
313,shif,['shifman'],73
314,handel,['handelman'],72
315,cross,['crossman'],72
316,maltz,['maltzman'],71
317,deck,['deckman'],71
318,roth,['rothman'],71
319,godli,['godliman'],71
320,oth,['othman'],70
321,loh,['lohman'],70
322,dory,['doryman'],70
323,hugh,['hughman'],70
324,weiz,['weizman'],70
325,ahri,['ahriman'],70
326,ver,['verman'],70
327,solo,['soloman'],70
328,rack,['rackman'],70
329,den,['denman'],70
330,lipp,['lippman'],70
331,fellow,['fellowman'],69
332,merri,['merriman'],69
333,whale,['whaleman'],68
334,frog,['frogman'],68
335,hey,['heyman'],68
336,lip,['lipman'],68
337,bogey,['bogeyman'],67
338,vo,['voman'],67
339,house,['houseman'],67
340,fetter,['fetterman'],67
341,dink,['dinkman'],66
342,castle,['castleman'],66
343,moor,['moorman'],66
344,erd,['erdman'],65
345,fair,['fairman'],65
346,wing,['wingman'],64
347,pearl,['pearlman'],64
348,holtz,['holtzman'],64
349,funny,['funnyman'],64
350,pass,['passman'],63
351,rafts,['raftsman'],62
352,helf,['helfman'],62
353,train,['trainman'],61
354,blu,['bluman'],61
355,unhu,['unhuman'],61
356,bronf,['bronfman'],60
357,flag,['flagman'],60
358,wild,['wildman'],60
359,cull,['cullman'],59
360,vander,['vanderman'],59
361,zal,['zalman'],59
362,weitz,['weitzman'],59
363,hay,['hayman'],59
364,stable,['stableman'],59
365,penni,['penniman'],59
366,railway,['railwayman'],58
367,baugh,['baughman'],58
368,norse,['norseman'],58
369,winter,['winterman'],58
370,gros,['grosman'],58
371,iron,['ironman'],57
372,north,['northman'],57
373,side,['sideman'],57
374,suss,['sussman'],56
375,anda,['andaman'],56
376,weis,['weisman'],56
377,hoch,['hochman'],55
378,laksh,['lakshman'],55
379,hof,['hofman'],55
380,ponni,['ponniman'],54
381,wake,['wakeman'],54
382,blind,['blindman'],54
383,weiss,['weissman'],53
384,bag,['bagman'],53
385,clur,['clurman'],53
386,livery,['liveryman'],53
387,shu,['shuman'],53
388,hous,['housman'],53
389,behr,['behrman'],52
390,plainclothes,['plainclothesman'],52
391,varda,['vardaman'],52
392,honny,['honnyman'],52
393,hanu,['hanuman'],52
394,switch,['switchman'],52
395,bridge,['bridgeman'],52
396,schul,['schulman'],51
397,yard,['yardman'],51
398,tall,['tallman'],51
399,taub,['taubman'],51
400,flix,['flixman'],51
401,lor,['lorman'],51
402,bieder,['biederman'],51
403,holz,['holzman'],50
404,tuch,['tuchman'],50
405,axe,['axeman'],50
406,weight,['weightman'],50
407,dol,['dolman'],50
408,buch,['buchman'],49
409,wool,['woolman'],49
410,burl,['burlman'],49
411,quarry,['quarryman'],49
412,privateers,['privateersman'],49
413,junk,['junkman'],49
414,gill,['gillman'],49
415,nie,['nieman'],48
416,tish,['tishman'],48
417,cornish,['cornishman'],48
418,sal,['salman'],48
419,engine,['engineman'],48
420,garbage,['garbageman'],47
421,bird,['birdman'],47
422,latter,['latterman'],47
423,klein,['kleinman'],47
424,or,['orman'],47
425,leads,['leadsman'],47
426,boll,['bollman'],47
427,klei,['kleiman'],46
428,beau,['beauman'],46
429,coff,['coffman'],46
430,oo,['ooman'],46
431,shoe,['shoeman'],46
432,mcmana,['mcmanaman'],46
433,hall,['hallman'],45
434,adel,['adelman'],45
435,weid,['weidman'],45
436,wattle,['wattleman'],45
437,yorkshire,['yorkshireman'],45
438,jazz,['jazzman'],45
439,rounds,['roundsman'],44
440,flash,['flashman'],44
441,low,['lowman'],44
442,no,['noman'],44
443,oyster,['oysterman'],44
444,ra,['raman'],44
445,cart,['cartman'],43
446,delivery,['deliveryman'],43
447,night,['nightman'],43
448,hollo,['holloman'],43
449,sailor,['sailorman'],43
450,kinder,['kinderman'],43
451,squaw,['squawman'],43
452,tyck,['tyckman'],43
453,ape,['apeman'],43
454,heintzel,['heintzelman'],43
455,rud,['rudman'],43
456,heck,['heckman'],42
457,dead,['deadman'],42
458,ded,['dedman'],42
459,muscle,['muscleman'],42
460,cochair,['cochairman'],41
461,turko,['turkoman'],41
462,wod,['wodman'],41
463,tilgh,['tilghman'],41
464,sand,['sandman'],41
465,ding,['dingman'],41
466,saltz,['saltzman'],40
467,ever,['everman'],40
468,groh,['grohman'],40
469,haupt,['hauptman'],40
470,ell,['ellman'],40
471,lehr,['lehrman'],40
472,times,['timesman'],40
473,hinch,['hinchman'],40
474,bad,['badman'],40
475,riegel,['riegelman'],39
476,harde,['hardeman'],39
477,wey,['weyman'],39
478,kar,['karman'],39
479,bee,['beeman'],39
480,braver,['braverman'],39
481,shab,['shabman'],39
482,lieb,['liebman'],38
483,glick,['glickman'],38
484,hop,['hopman'],38
485,excise,['exciseman'],38
486,apple,['appleman'],38
487,stell,['stellman'],38
488,manx,['manxman'],38
489,neu,['neuman'],38
490,tubber,['tubberman'],38
491,ru,['ruman'],38
492,fein,['feinman'],37
493,bus,['busman'],37
494,master,['masterman'],37
495,leib,['leibman'],37
496,liber,['liberman'],37
497,lar,['larman'],37
498,vale,['valeman'],36
499,place,['placeman'],36
500,spoils,['spoilsman'],36
501,dicker,['dickerman'],36
502,kirk,['kirkman'],36
503,to,['toman'],36
504,feyn,['feynman'],36
505,leder,['lederman'],36
506,lobster,['lobsterman'],36
507,eisen,['eisenman'],36
508,futter,['futterman'],35
509,kor,['korman'],35
510,green,['greenman'],35
511,merry,['merryman'],35
512,hotel,['hotelman'],35
513,wight,['wightman'],35
514,lock,['lockman'],34
515,mill,['millman'],34
516,krug,['krugman'],34
517,fadi,['fadiman'],34
518,bower,['bowerman'],34
519,cracks,['cracksman'],34
520,co,['coman'],33
521,eck,['eckman'],33
522,hager,['hagerman'],33
523,spear,['spearman'],33
524,ober,['oberman'],33
525,omdur,['omdurman'],33
526,grau,['grauman'],33
527,ward,['wardman'],33
528,brick,['brickman'],32
529,roff,['roffman'],32
530,liege,['liegeman'],32
531,ker,['kerman'],32
532,light,['lightman'],31
533,dill,['dillman'],31
534,brock,['brockman'],31
535,fink,['finkman'],31
536,zee,['zeeman'],31
537,lines,['linesman'],31
538,star,['starman'],31
539,schneider,['schneiderman'],31
540,dish,['dishman'],30
541,tas,['tasman'],30
542,seide,['seideman'],30
543,trent,['trentman'],30
544,grocery,['groceryman'],30
545,timmer,['timmerman'],30
546,ry,['ryman'],30
547,hei,['heiman'],29
548,baggage,['baggageman'],29
549,bea,['beaman'],29
550,mel,['melman'],29
551,dust,['dustman'],29
552,kurtz,['kurtzman'],29
553,holder,['holderman'],29
554,christ,['christman'],29
555,musul,['musulman'],29
556,witt,['wittman'],28
557,poll,['pollman'],28
558,hind,['hindman'],28
559,land,['landman'],28
560,peter,['peterman'],28
561,gel,['gelman'],28
562,u,['uman'],28
563,wol,['wolman'],28
564,rick,['rickman'],28
565,moss,['mossman'],27
566,boss,['bossman'],27
567,dry,['dryman'],27
568,harvard,['harvardman'],27
569,led,['ledman'],27
570,supersales,['supersalesman'],27
571,weg,['wegman'],27
572,fuhr,['fuhrman'],27
573,alter,['alterman'],27
574,gittle,['gittleman'],27
575,trencher,['trencherman'],27
576,shar,['sharman'],27
577,wheel,['wheelman'],27
578,nu,['numan'],27
579,dyck,['dyckman'],27
580,heine,['heineman'],27
581,fir,['firman'],27
582,trout,['troutman'],27
583,iro,['iroman'],27
584,kupfer,['kupferman'],26
585,gluck,['gluckman'],26
586,school,['schoolman'],26
587,one,['oneman'],26
588,lach,['lachman'],26
589,kiln,['kilnman'],26
590,lake,['lakeman'],26
591,beggar,['beggarman'],26
592,ash,['ashman'],26
593,spill,['spillman'],26
594,see,['seeman'],26
595,barge,['bargeman'],26
596,leish,['leishman'],26
597,gutt,['guttman'],25
598,wester,['westerman'],25
599,tin,['tinman'],25
600,brink,['brinkman'],25
601,beeck,['beeckman'],25
602,er,['erman'],25
603,lish,['lishman'],25
604,buck,['buckman'],25
605,lau,['lauman'],25
606,mart,['martman'],25
607,ek,['ekman'],25
608,goat,['goatman'],25
609,mittel,['mittelman'],25
610,heinne,['heinneman'],24
611,abusulay,['abusulayman'],24
612,kimmel,['kimmelman'],24
613,gleit,['gleitman'],24
614,jersey,['jerseyman'],24
615,adle,['adleman'],24
616,seed,['seedman'],24
617,til,['tilman'],24
618,grub,['grubman'],24
619,haus,['hausman'],24
620,hit,['hitman'],24
621,bod,['bodman'],24
622,waks,['waksman'],24
623,yale,['yaleman'],24
624,cai,['caiman'],24
625,back,['backman'],23
626,blake,['blakeman'],23
627,goff,['goffman'],23
628,swing,['swingman'],23
629,reader,['readerman'],23
630,soli,['soliman'],23
631,del,['delman'],23
632,sig,['sigman'],23
633,sedg,['sedgman'],23
634,el,['elman'],23
635,rax,['raxman'],23
636,garage,['garageman'],23
637,pech,['pechman'],23
638,gottes,['gottesman'],23
639,handicrafts,['handicraftsman'],23
640,loocker,['loockerman'],22
641,another,['anotherman'],22
642,linde,['lindeman'],22
643,front,['frontman'],22
644,leg,['legman'],22
645,kammer,['kammerman'],22
646,toll,['tollman'],22
647,chat,['chatman'],22
648,brother,['brotherman'],22
649,binga,['bingaman'],21
650,mud,['mudman'],21
651,blues,['bluesman'],21
652,reit,['reitman'],21
653,reis,['reisman'],21
654,wi,['wiman'],21
655,ay,['ayman'],21
656,hynd,['hyndman'],21
657,katle,['katleman'],21
658,pack,['packman'],21
659,bider,['biderman'],21
660,warehouse,['warehouseman'],21
661,tu,['tuman'],21
662,tle,['tleman'],20
663,heil,['heilman'],20
664,frish,['frishman'],20
665,woll,['wollman'],20
666,licht,['lichtman'],20
667,trot,['trotman'],20
668,marsh,['marshman'],20
669,turf,['turfman'],20
670,stix,['stixman'],20
671,ox,['oxman'],20
672,sport,['sportman'],20
673,betje,['betjeman'],20
674,watt,['wattman'],20
675,cor,['corman'],20
676,stein,['steinman'],20
677,hinck,['hinckman'],20
678,cress,['cressman'],20
679,suley,['suleyman'],20
680,druck,['druckman'],20
681,broad,['broadman'],20
682,bands,['bandsman'],20
683,die,['dieman'],20
684,midget,['midgetman'],20
685,becker,['beckerman'],20
686,jontle,['jontleman'],19
687,hul,['hulman'],19
688,kimel,['kimelman'],19
689,lex,['lexman'],19
690,ax,['axman'],19
691,tally,['tallyman'],19
692,torpedo,['torpedoman'],19
693,cordes,['cordesman'],19
694,bra,['braman'],19
695,bott,['bottman'],19
696,ed,['edman'],19
697,boor,['boorman'],19
698,schoen,['schoenman'],19
699,ul,['ulman'],19
700,bart,['bartman'],19
701,polis,['polisman'],19
702,west,['westman'],19
703,tho,['thoman'],19
704,gersh,['gershman'],19
705,herri,['herriman'],19
706,amish,['amishman'],19
707,nau,['nauman'],19
708,parch,['parchman'],19
709,soibel,['soibelman'],18
710,hil,['hilman'],18
711,tales,['talesman'],18
712,bugle,['bugleman'],18
713,stut,['stutman'],18
714,kall,['kallman'],18
715,bright,['brightman'],18
716,halter,['halterman'],18
717,trigger,['triggerman'],18
718,agentle,['agentleman'],18
719,twy,['twyman'],18
720,koop,['koopman'],18
721,single,['singleman'],18
722,dun,['dunman'],18
723,guth,['guthman'],18
724,nudel,['nudelman'],18
725,but,['butman'],18
726,bik,['bikman'],18
727,rine,['rineman'],18
728,fogle,['fogleman'],18
729,vat,['vatman'],18
730,kling,['klingman'],17
731,wort,['wortman'],17
732,klay,['klayman'],17
733,witte,['witteman'],17
734,engle,['engleman'],17
735,three,['threeman'],17
736,sloter,['sloterman'],17
737,gude,['gudeman'],17
738,gods,['godsman'],17
739,gelf,['gelfman'],17
740,flatboat,['flatboatman'],17
741,chip,['chipman'],17
742,erdt,['erdtman'],17
743,salz,['salzman'],17
744,ehr,['ehrman'],17
745,rose,['roseman'],17
746,isser,['isserman'],17
747,steg,['stegman'],17
748,dall,['dallman'],17
749,li,['liman'],17
750,steed,['steedman'],17
751,state,['stateman'],17
752,wein,['weinman'],16
753,prehu,['prehuman'],16
754,pet,['petman'],16
755,klack,['klackman'],16
756,will,['willman'],16
757,winkel,['winkelman'],16
758,paper,['paperman'],16
759,landes,['landesman'],16
760,suli,['suliman'],16
761,nightwatch,['nightwatchman'],16
762,stich,['stichman'],16
763,abderrah,['abderrahman'],16
764,cape,['capeman'],16
765,kel,['kelman'],16
766,alaba,['alabaman'],16
767,fugle,['fugleman'],16
768,brass,['brassman'],16
769,kahne,['kahneman'],16
770,angloger,['anglogerman'],16
771,geh,['gehman'],16
772,grip,['gripman'],16
773,inker,['inkerman'],16
774,flor,['florman'],16
775,camaralza,['camaralzaman'],16
776,gress,['gressman'],16
777,hage,['hageman'],16
778,canoe,['canoeman'],16
779,creel,['creelman'],16
780,brey,['breyman'],16
781,beuhl,['beuhlman'],16
782,folk,['folkman'],16
783,cot,['cotman'],16
784,swag,['swagman'],15
785,randle,['randleman'],15
786,orange,['orangeman'],15
787,hopt,['hoptman'],15
788,lotter,['lotterman'],15
789,lan,['lanman'],15
790,track,['trackman'],15
791,mussel,['musselman'],15
792,twacht,['twachtman'],15
793,hackle,['hackleman'],15
794,fro,['froman'],15
795,ham,['hamman'],15
796,deaths,['deathsman'],15
797,seeds,['seedsman'],15
798,sound,['soundman'],15
799,tew,['tewman'],15
800,pel,['pelman'],15
801,ealdor,['ealdorman'],15
802,desk,['deskman'],15
803,leather,['leatherman'],15
804,sulay,['sulayman'],15
805,bett,['bettman'],15
806,wyse,['wyseman'],15
807,bjork,['bjorkman'],15
808,tod,['todman'],15
809,plank,['plankman'],14
810,games,['gamesman'],14
811,tat,['tatman'],14
812,lat,['latman'],14
813,brenne,['brenneman'],14
814,jigger,['jiggerman'],14
815,wankh,['wankhman'],14
816,ler,['lerman'],14
817,ny,['nyman'],14
818,edle,['edleman'],14
819,cros,['crosman'],14
820,cassel,['casselman'],14
821,staff,['staffman'],14
822,upperclass,['upperclassman'],14
823,store,['storeman'],14
824,ack,['ackman'],14
825,dick,['dickman'],14
826,wurt,['wurtman'],14
827,poultry,['poultryman'],14
828,wum,['wumman'],14
829,brush,['brushman'],14
830,lamp,['lampman'],14
831,hel,['helman'],14
832,hag,['hagman'],14
833,dyk,['dykman'],14
834,len,['lenman'],13
835,pac,['pacman'],13
836,wide,['wideman'],13
837,richt,['richtman'],13
838,ring,['ringman'],13
839,wid,['widman'],13
840,bemel,['bemelman'],13
841,sick,['sickman'],13
842,hiller,['hillerman'],13
843,rods,['rodsman'],13
844,wil,['wilman'],13
845,aker,['akerman'],13
846,mose,['moseman'],13
847,snakes,['snakesman'],13
848,sa,['saman'],13
849,stick,['stickman'],13
850,vanda,['vandaman'],13
851,sonar,['sonarman'],13
852,harvest,['harvestman'],13
853,dahl,['dahlman'],13
854,vroo,['vrooman'],13
855,clay,['clayman'],13
856,at,['atman'],13
857,kuhl,['kuhlman'],13
858,hod,['hodman'],13
859,schwartz,['schwartzman'],13
860,pike,['pikeman'],13
861,class,['classman'],13
862,eise,['eiseman'],13
863,tax,['taxman'],13
864,walt,['waltman'],13
865,power,['powerman'],13
866,hirsch,['hirschman'],12
867,bos,['bosman'],12
868,loo,['looman'],12
869,bows,['bowsman'],12
870,mark,['markman'],12
871,heintzle,['heintzleman'],12
872,mehl,['mehlman'],12
873,mass,['massman'],12
874,hile,['hileman'],12
875,brad,['bradman'],12
876,slo,['sloman'],12
877,smither,['smitherman'],12
878,lash,['lashman'],12
879,put,['putman'],12
