index,stem,words,total_frequency
1029,sul,['sulman'],9
1030,toli,['toliman'],9
1031,boogey,['boogeyman'],9
1032,teller,['tellerman'],9
1033,berri,['berriman'],9
1034,prize,['prizeman'],9
1035,bitt,['bittman'],9
1036,tucu,['tucuman'],9
1037,plants,['plantsman'],8
1038,klar,['klarman'],8
1039,zig,['zigman'],8
1040,gai,['gaiman'],8
1041,ye,['yeman'],8
1042,reb,['rebman'],8
1043,ze,['zeman'],8
1044,kell,['kellman'],8
1045,storr,['storrman'],8
1046,counsel,['counselman'],8
1047,yegg,['yeggman'],8
1048,seidel,['seidelman'],8
1049,clothes,['clothesman'],8
1050,swarth,['swarthman'],8
1051,dycker,['dyckerman'],8
1052,preacher,['preacherman'],8
1053,crags,['cragsman'],8
1054,wouver,['wouverman'],8
1055,kessel,['kesselman'],8
1056,pone,['poneman'],8
1057,amer,['amerman'],8
1058,sule,['suleman'],8
1059,enger,['engerman'],8
1060,gutter,['gutterman'],8
1061,hi,['himan'],8
1062,feder,['federman'],8
1063,wall,['wallman'],8
1064,goze,['gozeman'],8
1065,sax,['saxman'],8
1066,butt,['buttman'],8
1067,cris,['crisman'],8
1068,sander,['sanderman'],8
1069,market,['marketman'],8
1070,wie,['wieman'],8
1071,wed,['wedman'],8
1072,best,['bestman'],8
1073,loss,['lossman'],8
1074,bruck,['bruckman'],8
1075,erlich,['erlichman'],8
1076,vene,['veneman'],8
1077,fleck,['fleckman'],8
1078,groop,['groopman'],8
1079,pear,['pearman'],8
1080,tester,['testerman'],8
1081,wick,['wickman'],8
1082,auss,['aussman'],8
1083,average,['averageman'],8
1084,ba,['baman'],8
1085,mur,['murman'],8
1086,love,['loveman'],8
1087,lissa,['lissaman'],8
1088,schein,['scheinman'],8
1089,mor,['morman'],8
1090,girt,['girtman'],8
1091,glee,['gleeman'],8
1092,link,['linkman'],8
1093,bill,['billman'],8
1094,enten,['entenman'],7
1095,eijk,['eijkman'],7
1096,ross,['rossman'],7
1097,ruster,['rusterman'],7
1098,corn,['cornman'],7
1099,ray,['rayman'],7
1100,ruder,['ruderman'],7
1101,sae,['saeman'],7
1102,sande,['sandeman'],7
1103,spil,['spilman'],7
1104,duber,['duberman'],7
1105,fer,['ferman'],7
1106,dice,['diceman'],7
1107,ris,['risman'],7
1108,saru,['saruman'],7
1109,spyk,['spykman'],7
1110,shenk,['shenkman'],7
1111,stadel,['stadelman'],7
1112,five,['fiveman'],7
1113,diech,['diechman'],7
1114,stark,['starkman'],7
1115,rex,['rexman'],7
1116,dimer,['dimerman'],7
1117,guber,['guberman'],7
1118,fores,['foresman'],7
1119,linder,['linderman'],7
1120,locker,['lockerman'],7
1121,lone,['loneman'],7
1122,lu,['luman'],7
1123,luke,['lukeman'],7
1124,held,['heldman'],7
1125,metro,['metroman'],7
1126,bjoerk,['bjoerkman'],7
1127,bol,['bolman'],7
1128,milli,['milliman'],7
1129,underclass,['underclassman'],7
1130,foretop,['foretopman'],7
1131,mortar,['mortarman'],7
1132,hammer,['hammerman'],7
1133,hals,['halsman'],7
1134,bore,['boreman'],7
1135,hais,['haisman'],7
1136,tupper,['tupperman'],7
1137,hoh,['hohman'],7
1138,wep,['wepman'],7
1139,tup,['tupman'],7
1140,azz,['azzman'],7
1141,za,['zaman'],7
1142,ah,['ahman'],7
1143,koh,['kohman'],7
1144,kolk,['kolkman'],7
1145,yar,['yarman'],7
1146,abdulrah,['abdulrahman'],7
1147,kurz,['kurzman'],7
1148,la,['laman'],7
1149,andel,['andelman'],7
1150,isles,['islesman'],7
1151,lauter,['lauterman'],7
1152,anglonor,['anglonorman'],7
1153,antihu,['antihuman'],7
1154,lee,['leeman'],7
1155,hyne,['hyneman'],7
1156,widi,['widiman'],7
1157,leter,['leterman'],7
1158,nai,['naiman'],7
1159,ulster,['ulsterman'],7
1160,navy,['navyman'],7
1161,ott,['ottman'],7
1162,railroad,['railroadman'],7
1163,rabbit,['rabbitman'],7
1164,fritch,['fritchman'],7
1165,sunder,['sunderman'],7
1166,fry,['fryman'],7
1167,sus,['susman'],7
1168,swartz,['swartzman'],7
1169,teach,['teachman'],7
1170,gentil,['gentilman'],7
1171,gher,['gherman'],7
1172,gleiber,['gleiberman'],7
1173,panganda,['pangandaman'],7
1174,pana,['panaman'],7
1175,gober,['goberman'],7
1176,semihu,['semihuman'],7
1177,tracht,['trachtman'],7
1178,bouk,['boukman'],7
1179,haber,['haberman'],7
1180,ness,['nessman'],7
1181,nether,['netherman'],7
1182,broenni,['broenniman'],7
1183,waith,['waithman'],6
1184,stay,['stayman'],6
1185,tre,['treman'],6
1186,tanker,['tankerman'],6
1187,ammer,['ammerman'],6
1188,woo,['wooman'],6
1189,dragger,['draggerman'],6
1190,drunk,['drunkman'],6
1191,brack,['brackman'],6
1192,throttle,['throttleman'],6
1193,crossbow,['crossbowman'],6
1194,stro,['stroman'],6
1195,tur,['turman'],6
1196,zel,['zelman'],6
1197,zober,['zoberman'],6
1198,dunder,['dunderman'],6
1199,thie,['thieman'],6
1200,traut,['trautman'],6
1201,binker,['binkerman'],6
1202,transit,['transitman'],6
1203,toch,['tochman'],6
1204,tisher,['tisherman'],6
1205,tins,['tinsman'],6
1206,cadre,['cadreman'],6
1207,beine,['beineman'],6
1208,dich,['dichman'],6
1209,beidle,['beidleman'],6
1210,vrou,['vrouman'],6
1211,beidel,['beidelman'],6
1212,bass,['bassman'],6
1213,cal,['calman'],6
1214,bou,['bouman'],6
1215,timber,['timberman'],6
1216,barrick,['barrickman'],6
1217,tower,['towerman'],6
1218,bogy,['bogyman'],6
1219,atta,['attaman'],6
1220,welch,['welchman'],6
1221,zwill,['zwillman'],6
1222,grad,['gradman'],6
1223,oak,['oakman'],6
1224,kleit,['kleitman'],6
1225,kasher,['kasherman'],6
1226,gang,['gangman'],6
1227,hand,['handman'],6
1228,klinger,['klingerman'],6
1229,kolo,['koloman'],6
1230,hatchet,['hatchetman'],6
1231,grounds,['groundsman'],6
1232,hona,['honaman'],6
1233,feibel,['feibelman'],6
1234,gal,['galman'],6
1235,mycen,['mycenman'],6
1236,not,['notman'],6
1237,nari,['nariman'],6
1238,felt,['feltman'],6
1239,rives,['rivesman'],6
1240,nav,['navman'],6
1241,field,['fieldman'],6
1242,ka,['kaman'],6
1243,fleet,['fleetman'],6
1244,ricey,['riceyman'],6
1245,guld,['guldman'],6
1246,rett,['rettman'],6
1247,rei,['reiman'],6
1248,hunne,['hunneman'],6
1249,insurance,['insuranceman'],6
1250,pu,['puman'],6
1251,freid,['freidman'],6
1252,quarter,['quarterman'],6
1253,pie,['pieman'],6
1254,mags,['magsman'],6
1255,ike,['ikeman'],6
1256,gell,['gellman'],6
1257,se,['seman'],6
1258,hanne,['hanneman'],6
1259,grocer,['grocerman'],6
1260,peace,['peaceman'],6
1261,hardluvn,['hardluvnman'],6
1262,kir,['kirman'],6
1263,eich,['eichman'],6
1264,harsh,['harshman'],6
1265,gloucester,['gloucesterman'],6
1266,hardi,['hardiman'],6
1267,grass,['grassman'],6
1268,genel,['genelman'],6
1269,gran,['granman'],6
1270,ocht,['ochtman'],6
1271,gougel,['gougelman'],6
1272,sell,['sellman'],6
1273,eber,['eberman'],6
1274,sels,['selsman'],6
1275,los,['losman'],6
1276,lux,['luxman'],6
1277,hyperhu,['hyperhuman'],5
1278,poor,['poorman'],5
1279,surf,['surfman'],5
1280,frau,['frauman'],5
1281,sur,['surman'],5
1282,gwertz,['gwertzman'],5
1283,march,['marchman'],5
1284,frenchger,['frenchgerman'],5
1285,brei,['breiman'],5
1286,wagga,['waggaman'],5
1287,presst,['presstman'],5
1288,cly,['clyman'],5
1289,brene,['breneman'],5
1290,suger,['sugerman'],5
1291,suh,['suhman'],5
1292,camer,['camerman'],5
1293,matthew,['matthewman'],5
1294,helli,['helliman'],5
1295,cine,['cineman'],5
1296,gennle,['gennleman'],5
1297,tor,['torman'],5
1298,te,['teman'],5
1299,pfaff,['pfaffman'],5
1300,pill,['pillman'],5
1301,ged,['gedman'],5
1302,hitch,['hitchman'],5
1303,loeb,['loebman'],5
1304,taul,['taulman'],5
1305,ceri,['ceriman'],5
1306,pivot,['pivotman'],5
1307,cha,['chaman'],5
1308,lof,['lofman'],5
1309,tap,['tapman'],5
1310,welt,['weltman'],5
1311,ig,['igman'],5
1312,career,['careerman'],5
1313,band,['bandman'],5
1314,mahl,['mahlman'],5
1315,pelz,['pelzman'],5
1316,what,['whatman'],5
1317,chimal,['chimalman'],5
1318,point,['pointman'],5
1319,bildungsro,['bildungsroman'],5
1320,auto,['automan'],5
1321,sweet,['sweetman'],5
1322,pol,['polman'],5
1323,ga,['gaman'],5
1324,hela,['helaman'],5
1325,lew,['lewman'],5
1326,cold,['coldman'],5
1327,siegel,['siegelman'],5
1328,handal,['handalman'],5
1329,yung,['yungman'],5
1330,schaal,['schaalman'],5
1331,younger,['youngerman'],5
1332,key,['keyman'],5
1333,sister,['sisterman'],5
1334,ko,['koman'],5
1335,sling,['slingman'],5
1336,ryck,['ryckman'],5
1337,koko,['kokoman'],5
1338,mountain,['mountainman'],5
1339,yas,['yasman'],5
1340,musal,['musalman'],5
1341,rubber,['rubberman'],5
1342,danish,['danishman'],5
1343,schecht,['schechtman'],5
1344,sides,['sidesman'],5
1345,feible,['feibleman'],5
1346,klee,['kleeman'],5
1347,duke,['dukeman'],5
1348,dyke,['dykeman'],5
1349,sharf,['sharfman'],5
1350,drug,['drugman'],5
1351,dre,['dreman'],5
1352,sheffer,['shefferman'],5
1353,zol,['zolman'],5
1354,utility,['utilityman'],5
1355,able,['ableman'],5
1356,unter,['unterman'],5
1357,klaid,['klaidman'],5
1358,eis,['eisman'],5
1359,schreib,['schreibman'],5
1360,kemel,['kemelman'],5
1361,sid,['sidman'],5
1362,vicechair,['vicechairman'],5
1363,bittel,['bittelman'],5
1364,lander,['landerman'],5
1365,riggle,['riggleman'],5
1366,had,['hadman'],5
1367,radar,['radarman'],5
1368,raha,['rahaman'],5
1369,sten,['stenman'],5
1370,copper,['copperman'],5
1371,tithing,['tithingman'],5
1372,fogel,['fogelman'],5
1373,jentil,['jentilman'],5
1374,stear,['stearman'],5
1375,landre,['landreman'],5
1376,yackt,['yacktman'],5
1377,jonk,['jonkman'],5
1378,ri,['riman'],5
1379,creas,['creasman'],5
1380,ander,['anderman'],5
1381,nadel,['nadelman'],5
1382,wust,['wustman'],5
1383,spears,['spearsman'],5
1384,feuds,['feudsman'],5
1385,road,['roadman'],5
1386,ak,['akman'],5
1387,spack,['spackman'],5
1388,ne,['neman'],5
1389,speak,['speakman'],5
1390,vicker,['vickerman'],5
1391,hagg,['haggman'],5
1392,maat,['maatman'],4
1393,mcdor,['mcdorman'],4
1394,luft,['luftman'],4
1395,wacker,['wackerman'],4
1396,meat,['meatman'],4
1397,hawk,['hawkman'],4
1398,mich,['michman'],4
1399,michel,['michelman'],4
1400,volk,['volkman'],4
1401,vogel,['vogelman'],4
1402,merrittchap,['merrittchapman'],4
1403,hauss,['haussman'],4
1404,biber,['biberman'],4
1405,masa,['masaman'],4
1406,mai,['maiman'],4
1407,seven,['sevenman'],4
1408,hesse,['hesseman'],4
1409,beth,['bethman'],4
1410,anotherhu,['anotherhuman'],4
1411,ise,['iseman'],4
1412,jerolo,['jeroloman'],4
1413,ala,['alaman'],4
1414,lag,['lagman'],4
1415,ladle,['ladleman'],4
1416,ladder,['ladderman'],4
1417,wur,['wurman'],4
1418,kus,['kusman'],4
1419,kampel,['kampelman'],4
1420,koz,['kozman'],4
1421,yal,['yalman'],4
1422,aircrafts,['aircraftsman'],4
1423,karp,['karpman'],4
1424,kopel,['kopelman'],4
1425,yatke,['yatkeman'],4
1426,ahi,['ahiman'],4
1427,yur,['yurman'],4
1428,katz,['katzman'],4
1429,ader,['aderman'],4
1430,zeiger,['zeigerman'],4
1431,kerk,['kerkman'],4
1432,zelandonii,['zelandoniiman'],4
1433,kiz,['kizman'],4
1434,zin,['zinman'],4
1435,kit,['kitman'],4
1436,kings,['kingsman'],4
1437,antiger,['antigerman'],4
1438,wipper,['wipperman'],4
1439,as,['asman'],4
1440,holt,['holtman'],4
1441,hilge,['hilgeman'],4
1442,berger,['bergerman'],4
1443,hille,['hilleman'],4
1444,longbow,['longbowman'],4
1445,bel,['belman'],4
1446,beide,['beideman'],4
1447,lla,['llaman'],4
1448,hoe,['hoeman'],4
1449,hog,['hogman'],4
1450,holli,['holliman'],4
1451,bas,['basman'],4
1452,wen,['wenman'],4
1453,life,['lifeman'],4
1454,ata,['ataman'],4
1455,liep,['liepman'],4
1456,hony,['honyman'],4
1457,hoo,['hooman'],4
1458,hood,['hoodman'],4
1459,hooper,['hooperman'],4
1460,hospital,['hospitalman'],4
1461,harts,['hartsman'],4
1462,lekach,['lekachman'],4
1463,hult,['hultman'],4
1464,wig,['wigman'],4
1465,wik,['wikman'],4
1466,huse,['huseman'],4
1467,hartz,['hartzman'],4
1468,burk,['burkman'],4
1469,boats,['boatsman'],4
1470,fliner,['flinerman'],4
1471,dah,['dahman'],4
1472,da,['daman'],4
1473,speci,['speciman'],4
1474,speck,['speckman'],4
1475,customs,['customsman'],4
1476,cu,['cuman'],4
1477,roit,['roitman'],4
1478,rois,['roisman'],4
1479,rish,['rishman'],4
1480,sportfisher,['sportfisherman'],4
1481,firstbase,['firstbaseman'],4
1482,rfchair,['rfchairman'],4
1483,stat,['statman'],4
1484,crab,['crabman'],4
1485,feather,['featherman'],4
1486,receptor,['receptorman'],4
1487,cos,['cosman'],4
1488,re,['reman'],4
1489,corf,['corfman'],4
1490,rail,['railman'],4
1491,frankie,['frankieman'],4
1492,conder,['conderman'],4
1493,condemned,['condemnedman'],4
1494,stol,['stolman'],4
1495,coey,['coeyman'],4
1496,quig,['quigman'],4
1497,pump,['pumpman'],4
1498,cock,['cockman'],4
1499,felder,['felderman'],4
1500,days,['daysman'],4
1501,protohu,['protohuman'],4
1502,eng,['engman'],4
1503,shell,['shellman'],4
1504,shentle,['shentleman'],4
1505,sechair,['sechairman'],4
1506,dous,['dousman'],4
1507,eidel,['eidelman'],4
1508,scoteh,['scotehman'],4
1509,shlaude,['shlaudeman'],4
1510,dole,['doleman'],4
1511,shore,['shoreman'],4
1512,shovel,['shovelman'],4
1513,dod,['dodman'],4
1514,emt,['emtman'],4
1515,endel,['endelman'],4
1516,sigel,['sigelman'],4
1517,sock,['sockman'],4
1518,schacht,['schachtman'],4
1519,siier,['siierman'],4
1520,sausa,['sausaman'],4
1521,sanitation,['sanitationman'],4
1522,sale,['saleman'],4
1523,entle,['entleman'],4
1524,sley,['sleyman'],4
1525,slier,['slierman'],4
1526,ester,['esterman'],4
1527,slu,['sluman'],4
1528,ruddi,['ruddiman'],4
1529,evers,['eversman'],4
1530,snyd,['snydman'],4
1531,cnair,['cnairman'],4
1532,proger,['progerman'],4
1533,harry,['harryman'],4
1534,trill,['trillman'],4
1535,graecoro,['graecoroman'],4
1536,buehl,['buehlman'],4
1537,ob,['obman'],4
1538,brot,['brotman'],4
1539,oat,['oatman'],4
1540,town,['townman'],4
1541,brig,['brigman'],4
1542,grund,['grundman'],4
1543,brides,['bridesman'],4
1544,gubel,['gubelman'],4
1545,guilds,['guildsman'],4
1546,nord,['nordman'],4
1547,nobel,['nobelman'],4
1548,breg,['bregman'],4
1549,butter,['butterman'],4
1550,brakes,['brakesman'],4
1551,gwirtz,['gwirtzman'],4
1552,ney,['neyman'],4
1553,bous,['bousman'],4
1554,nep,['nepman'],4
1555,neele,['neeleman'],4
1556,nah,['nahman'],4
1557,hair,['hairman'],4
1558,halder,['halderman'],4
1559,muss,['mussman'],4
1560,boots,['bootsman'],4
1561,milz,['milzman'],4
1562,uth,['uthman'],4
1563,tis,['tisman'],4
1564,goss,['gossman'],4
1565,prety,['pretyman'],4
1566,gall,['gallman'],4
1567,frid,['fridman'],4
1568,potter,['potterman'],4
1569,posthu,['posthuman'],4
1570,circus,['circusman'],4
1571,furs,['fursman'],4
1572,policer,['policerman'],4
1573,pokes,['pokesman'],4
1574,chris,['chrisman'],4
1575,pohl,['pohlman'],4
1576,taft,['taftman'],4
1577,chentle,['chentleman'],4
1578,cheese,['cheeseman'],4
1579,plane,['planeman'],4
1580,gallery,['galleryman'],4
1581,out,['outman'],4
1582,tans,['tansman'],4
1583,teich,['teichman'],4
1584,tella,['tellaman'],4
1585,pick,['pickman'],4
1586,temple,['templeman'],4
1587,perry,['perryman'],4
1588,thal,['thalman'],4
1589,tharch,['tharchman'],4
1590,perlice,['perliceman'],4
1591,perets,['peretsman'],4
1592,tie,['tieman'],4
1593,genti,['gentiman'],4
1594,golds,['goldsman'],4
1595,kho,['khoman'],4
