index,stem,words,total_frequency
0,ap,['apperson'],22
1,jes,['jesperson'],16
2,non,['nonperson'],16
3,first,['firstperson'],14
4,cchair,['cchairperson'],13
5,ep,['epperson'],11
6,jas,['jasperson'],6
7,two,['twoperson'],4
