index,word,stem,suffix,frequency,frequency_in_a_million
143,bushman,bush,man,361,0.9692658550850619
144,tolman,tol,man,358,0.9612110141840782
145,ehrlichman,ehrlich,man,345,0.9263067036131478
146,journeyman,journey,man,344,0.9236217566461532
147,wyman,wy,man,344,0.9236217566461532
148,grossman,gross,man,342,0.9182518627121641
149,boardman,board,man,338,0.9075120748441855
150,juryman,jury,man,336,0.9021421809101963
151,milkman,milk,man,334,0.8967722869762069
152,englishwoman,english,woman,331,0.8887174460752231
153,motorman,motor,man,328,0.8806626051742392
154,headman,head,man,326,0.8752927112402499
155,berkman,berk,man,321,0.8618679764052767
156,bondsman,bonds,man,320,0.8591830294382821
157,backwoodsman,backwoods,man,317,0.8511281885372982
158,draftsman,drafts,man,312,0.837703453702325
159,mailman,mail,man,301,0.8081690370653841
160,clansman,clans,man,299,0.8027991431313949
161,ranchman,ranch,man,299,0.8027991431313949
162,flaxman,flax,man,298,0.8001141961644002
163,washerwoman,washer,woman,298,0.8001141961644002
164,catwoman,cat,woman,295,0.7920593552634163
165,altman,alt,man,290,0.7786346204284432
166,amman,am,man,290,0.7786346204284432
167,feldman,feld,man,288,0.7732647264944539
168,middleman,middle,man,288,0.7732647264944539
169,hyman,hy,man,288,0.7732647264944539
170,stoneman,stone,man,287,0.7705797795274593
171,guardsman,guards,man,284,0.7625249386264753
172,bigman,big,man,282,0.7571550446924861
173,haldeman,halde,man,277,0.743730309857513
174,foeman,foe,man,276,0.7410453628905184
175,minuteman,minute,man,272,0.7303055750225398
176,osman,os,man,272,0.7303055750225398
177,wiseman,wise,man,272,0.7303055750225398
178,frenchwoman,french,woman,268,0.7195657871545612
179,scotsman,scots,man,267,0.7168808401875667
180,saleswoman,sales,woman,265,0.7115109462535774
181,highwayman,highway,man,263,0.7061410523195881
182,dilman,dil,man,260,0.6980862114186042
183,farman,far,man,252,0.6766066356826472
184,glassman,glass,man,252,0.6766066356826472
185,welshman,welsh,man,251,0.6739216887156525
186,langman,lang,man,249,0.6685517947816633
187,schuman,schu,man,246,0.6604969538806793
188,cabman,cab,man,243,0.6524421129796955
189,ferryman,ferry,man,243,0.6524421129796955
190,landsman,lands,man,241,0.6470722190457062
191,spikeman,spike,man,241,0.6470722190457062
192,draughtsman,draughts,man,238,0.6390173781447224
193,repairman,repair,man,236,0.633647484210733
194,hardman,hard,man,234,0.6282775902767438
195,barman,bar,man,233,0.6255926433097492
196,oilman,oil,man,232,0.6229076963427544
197,spellman,spell,man,226,0.6067980145407867
198,yachtsman,yachts,man,225,0.6041130675737921
199,hickman,hick,man,225,0.6041130675737921
200,steersman,steers,man,224,0.6014281206067975
201,swordsman,swords,man,224,0.6014281206067975
202,everyman,every,man,222,0.5960582266728082
203,handyman,handy,man,222,0.5960582266728082
204,policewoman,police,woman,222,0.5960582266728082
205,beekman,beek,man,219,0.5880033857718243
206,artilleryman,artillery,man,218,0.5853184388048296
207,edelman,edel,man,215,0.5772635979038458
208,strongman,strong,man,214,0.5745786509368512
209,rifleman,rifle,man,211,0.5665238100358673
210,dairyman,dairy,man,210,0.5638388630688727
211,letterman,letter,man,204,0.5477291812669048
212,trueman,true,man,200,0.5369893933989264
213,selman,sel,man,199,0.5343044464319316
214,cayman,cay,man,198,0.531619499464937
215,kinswoman,kins,woman,197,0.5289345524979424
216,haman,ha,man,196,0.5262496055309478
217,merman,mer,man,195,0.5235646585639532
218,dorman,dor,man,193,0.5181947646299638
219,pittman,pitt,man,193,0.5181947646299638
220,tubman,tub,man,193,0.5181947646299638
221,spokesperson,spokes,person,190,0.51013992372898
222,hackman,hack,man,190,0.51013992372898
223,forman,for,man,189,0.5074549767619854
224,cushman,cush,man,188,0.5047700297949907
225,plowman,plow,man,186,0.49940013586100146
226,cowman,cow,man,186,0.49940013586100146
227,perlman,perl,man,185,0.49671518889400684
228,lumberman,lumber,man,182,0.48866034799302294
229,earthman,earth,man,182,0.48866034799302294
230,portman,port,man,175,0.46986571922406056
231,jackman,jack,man,175,0.46986571922406056
232,patman,pat,man,173,0.4644958252900713
233,bondman,bond,man,173,0.4644958252900713
234,bannerman,banner,man,171,0.45912593135608204
235,iceman,ice,man,171,0.45912593135608204
236,headsman,heads,man,170,0.45644098438908737
237,kalman,kal,man,169,0.45375603742209275
238,honeyman,honey,man,169,0.45375603742209275
239,lensman,lens,man,168,0.45107109045509813
240,beman,be,man,167,0.44838614348810346
241,silliman,silli,man,166,0.44570119652110884
242,doberman,dober,man,165,0.44301624955411417
243,naaman,naa,man,163,0.43764635562012494
244,counterman,counter,man,163,0.43764635562012494
245,moneyman,money,man,163,0.43764635562012494
246,suleiman,sulei,man,163,0.43764635562012494
247,bozeman,boze,man,161,0.4322764616861357
248,stutsman,stuts,man,160,0.42959151471914103
249,homan,ho,man,158,0.4242216207851518
250,weatherman,weather,man,156,0.4188517268511625
251,burman,bur,man,154,0.4134818329171733
252,horniman,horni,man,154,0.4134818329171733
253,pitman,pit,man,153,0.4107968859501786
254,steelman,steel,man,152,0.40811193898318404
255,sheepman,sheep,man,150,0.40274204504919475
256,ploughman,plough,man,150,0.40274204504919475
257,chessman,chess,man,149,0.4000570980822001
258,luckman,luck,man,146,0.39200225718121623
259,heisman,heis,man,145,0.3893173102142216
260,snowman,snow,man,144,0.38663236324722694
261,blackman,black,man,143,0.3839474162802323
262,darman,dar,man,143,0.3839474162802323
263,grumman,grum,man,143,0.3839474162802323
264,spelman,spel,man,142,0.38126246931323765
265,nonhuman,nonhu,man,141,0.37857752234624303
266,redman,red,man,139,0.3732076284122538
267,mussulman,mussul,man,139,0.3732076284122538
268,sparkman,spark,man,137,0.3678377344782645
269,walkman,walk,man,137,0.3678377344782645
270,shopman,shop,man,135,0.3624678405442753
271,neiman,nei,man,134,0.3597828935772806
272,defenseman,defense,man,134,0.3597828935772806
273,gemman,gem,man,134,0.3597828935772806
274,bookman,book,man,134,0.3597828935772806
275,shipman,ship,man,134,0.3597828935772806
276,whiteman,white,man,134,0.3597828935772806
277,businesswoman,business,woman,134,0.3597828935772806
278,lawman,law,man,134,0.3597828935772806
279,zuckerman,zucker,man,133,0.35709794661028604
280,seligman,selig,man,133,0.35709794661028604
281,gusman,gus,man,132,0.35441299964329137
282,longman,long,man,131,0.35172805267629675
283,selectman,select,man,131,0.35172805267629675
284,youngman,young,man,130,0.3490431057093021
285,lehntman,lehnt,man,129,0.34635815874230746
286,ullman,ull,man,129,0.34635815874230746
287,congresswoman,congress,woman,128,0.34367321177531285
288,caveman,cave,man,127,0.34098826480831823
289,rahman,rah,man,127,0.34098826480831823
290,frohman,froh,man,126,0.3383033178413236
291,wellman,well,man,126,0.3383033178413236
292,harman,har,man,125,0.33561837087432894
293,nurseryman,nursery,man,125,0.33561837087432894
294,aikman,aik,man,124,0.3329334239073343
295,riesman,ries,man,124,0.3329334239073343
296,wolfman,wolf,man,123,0.33024847694033965
297,pressman,press,man,122,0.32756352997334504
298,nachman,nach,man,121,0.3248785830063505
299,fellman,fell,man,121,0.3248785830063505
300,expressman,express,man,121,0.3248785830063505
301,corpsman,corps,man,120,0.3221936360393558
302,tuckerman,tucker,man,120,0.3221936360393558
303,vestryman,vestry,man,120,0.3221936360393558
304,ombudsman,ombuds,man,119,0.3195086890723612
305,abelman,abel,man,118,0.3168237421053665
306,charwoman,char,woman,117,0.3141387951383719
307,bateman,bate,man,116,0.3114538481713772
308,hetman,het,man,115,0.30876890120438266
309,shulman,shul,man,113,0.3033990072703934
310,rotomotoman,rotomoto,man,113,0.3033990072703934
311,furman,fur,man,113,0.3033990072703934
312,anchorman,anchor,man,112,0.30071406030339876
