index,stem,words,total_frequency
0,scrub,['scrubwoman'],27
1,wash,['washwoman'],27
2,tire,['tirewoman'],12
3,harp,['harpwoman'],7
4,herb,['herbwoman'],5
5,anti,['antiwoman'],4
6,married,['marriedwoman'],4
