,theme,chi2,p,n,bonferroni_n,outcome,dof
0,inclusive,81.19330573536078,2.0468414963579619e-19,4455,3,***,1
1,modern,50.99917022310125,9.240502047467327e-13,4455,3,***,1
2,professional,151.22923000416844,9.338698956579969e-35,4455,3,***,1
