role_noun_gender,inclusive,modern,professional,standard,natural,count,prop_inclusive,prop_modern,prop_professional,prop_standard,prop_natural
neutral,198,147,365,338,248,3090,0.06407766990291262,0.04757281553398058,0.11812297734627832,0.10938511326860842,0.08025889967637541
feminine,1573,547,514,324,217,5435,0.28942042318307265,0.10064397424103036,0.09457221711131555,0.05961361545538178,0.03992640294388224
masculine,1469,594,545,302,246,5084,0.28894571203776553,0.11683713611329662,0.10719905586152635,0.05940204563335956,0.04838709677419355
