,theme,chi2,p,n,bonferroni_n,outcome,dof
0,inclusive,708.1043850380987,5.168526333864659e-156,14766,5,***,1
1,modern,120.38703724088315,5.204772408589298e-28,14766,5,***,1
2,professional,7.856320127798024,0.005064336105370074,14766,5,*,1
3,standard,89.75548693750464,2.694898859753253e-21,14766,5,***,1
4,natural,50.03398510687629,1.5110604328074093e-12,14766,5,***,1
