,theme,chi2,p,n,bonferroni_n,outcome,dof
0,inclusive,47.849490562901586,4.602266486999549e-12,2509,3,***,1
1,modern,75.51487271625243,3.626648389383604e-18,2509,3,***,1
2,professional,126.66299315071966,2.201568143128686e-29,2509,3,***,1
