,name,seed_set,theme_words
0,inclusive,exclusionary	inclusive,ableist	acceptable	exclusionary	exclusive	inclusive	limiting	outdated	problematic	streamlined	welcoming
1,modern,contemporary	modern	outdated	traditional,archaic	contemporary	conventional	dated	modern	outdated	refined	sophisticated	streamlined	traditional
2,professional,professional	unprofessional,ableist	biased	casual	experienced	genderspecific	polished	proactive	professional	technical	unprofessional
3,standard,common	standard	uncommon	unusual,acceptable	archaic	common	conventional	preferred	standard	traditional	typical	uncommon	unusual
4,natural,awkward	clunky	fluid	natural,abrupt	ambiguous	awkward	dated	fluid	informal	natural	problematic	streamlined	uncertain
