, ,original gender: neutral,original gender: masculine,original gender: feminine,overall
0,swapped gender: neutral,0.20930232558139536,0.3680555555555556,0.41025641025641024,0.3190883190883191
1,swapped gender: masculine,0.6666666666666666,0.4861111111111111,0.47435897435897434,0.5498575498575499
2,swapped gender: feminine,0.4186046511627907,0.3263888888888889,0.16666666666666666,0.3247863247863248
