role_noun_gender,removed_rate,neutral_added,masculine_added,feminine_added
neutral,0.2792022792022792,0.0,0.0,0.0
masculine,0.5641025641025641,0.36182336182336183,0.0,0.0
feminine,0.5925925925925926,0.33618233618233617,0.0,0.0
