, ,original gender: masculine,original gender: feminine,overall
0,swapped gender: masculine,0.3049645390070922,0.26495726495726496,0.2868217054263566
1,swapped gender: feminine,0.41134751773049644,0.4188034188034188,0.41472868217054265
