task_wording,inclusive,modern,professional,count,prop_inclusive,prop_modern,prop_professional
pronoun declaration she/they,259,29,24,420,0.6166666666666667,0.06904761904761905,0.05714285714285714
pronoun declaration they/she,235,16,19,426,0.5516431924882629,0.03755868544600939,0.04460093896713615
pronoun declaration he/they,202,22,18,397,0.5088161209068011,0.055415617128463476,0.04534005037783375
pronoun declaration they/he,183,9,17,418,0.43779904306220097,0.0215311004784689,0.04066985645933014
