,theme,chi2,p,n,bonferroni_n,outcome,dof
0,inclusive,1.4362777932560111,0.23074262538954482,1158,3,n.s.,1
1,modern,63.51989952588655,1.587549768965586e-15,1158,3,***,1
2,professional,35.620820327328175,2.397117605314391e-09,1158,3,***,1
