,theme,chi2,p,n,bonferroni_n,outcome,dof
0,inclusive,665.9958406936844,7.419853715774603e-147,13609,5,***,1
1,modern,102.66117108220247,3.976627557763295e-24,13609,5,***,1
2,professional,7.575839768288082,0.005915581322392028,13609,5,*,1
3,standard,89.50634006188152,3.0565736013168654e-21,13609,5,***,1
4,natural,62.631273735346895,2.4926377262386617e-15,13609,5,***,1
