,theme,chi2,p,n,bonferroni_n,outcome,dof
0,inclusive,51.53825390944781,7.021553119492588e-13,2509,3,***,1
1,modern,75.51487271625243,3.626648389383604e-18,2509,3,***,1
2,professional,124.84489722869664,5.503235085703133e-29,2509,3,***,1
