,theme,chi2,p,n,bonferroni_n,outcome,dof
0,inclusive,89.25952376997597,3.462718833218589e-21,4455,3,***,1
1,modern,50.99917022310125,9.240502047467327e-13,4455,3,***,1
2,professional,151.48843312757077,8.196605347792992e-35,4455,3,***,1
