implicit_explicit,cat_inclusive,cat_modern,cat_professional,count,prop_inclusive,prop_modern,prop_professional
explicit,2965,736,524,5432,0.5458394698085419,0.13549337260677466,0.09646539027982327
implicit,848,456,423,2000,0.424,0.228,0.2115
