, ,original gender: masculine,original gender: feminine,overall
0,swapped gender: masculine,0.22695035460992907,0.2222222222222222,0.2248062015503876
1,swapped gender: feminine,0.5035460992907801,0.27350427350427353,0.3992248062015504
