index,removed_rate,neutral_added,masculine_added,feminine_added
neutral,0.5042735042735043,0.0,0.0,0.0
masculine,0.4301994301994302,0.3190883190883191,0.0,0.0
feminine,0.3333333333333333,0.2621082621082621,0.0,0.0
