,seed_set,theme_words
0,exclusionary	inclusive,exclusionary	inclusive	exclusive	limiting	encompassing	welcoming	universal	outdated	problematic	standardized	unnecessary	acceptable	generic	cisnormative	restrictive
1,modern	traditional	outdated	contemporary,contemporary	modern	traditional	outdated	dated	sophisticated	refined	standardized	polished	archaic	rugged	regional	conventional	unconventional	informal
2,professional,professional	polished	technical	specialized	diplomatic	qualified	authoritative	rugged	confident	serious	occupational	formal	standardized	charitable	casual
3,common	standard,standard	common	preferred	traditional	acceptable	standardized	conventional	uncommon	correct	typical	used	consistent	formal	refined	universal
4,natural	fluid	clunky	awkward,fluid	awkward	natural	sophisticated	refined	smooth	polished	unconventional	ambiguous	straightforward	forced	repetitive	authoritative	playful	diplomatic
5,authentic,authentic	inspiring	authoritative	reliable	credible	honest	diplomatic	polished	meaningful	confident	intentional	engaging	welcoming	professional	playful
6,sexist,sexist	gendered	exclusionary	stereotypical	outdated	cisnormative	heteronormative	sensationalized	deceitful	male	masculine	provocative	confrontational	personalized	dismissive
