task_wording,cat_exclusionary,cat_authentic,cat_sexist,cat_professional,cat_modern,count
gender declaration nonbinary,0.635989010989011,0.10714285714285714,0.11538461538461539,0.12637362637362637,0.10714285714285714,728
gender declaration woman,0.47095761381475665,0.28885400313971743,0.13814756671899528,0.32339089481946626,0.3453689167974882,637
gender declaration man,0.38687392055267705,0.22452504317789293,0.12607944732297063,0.2763385146804836,0.30915371329879104,579
