role_noun_gender,cat_exclusionary,cat_modern,cat_professional,cat_common,cat_natural,count
neutral,0.11831153388822829,0.06183115338882283,0.12544589774078477,0.35969084423305586,0.12366230677764566,1682
feminine,0.3236163920574567,0.09547950992817913,0.07900295732995352,0.16730038022813687,0.024081115335868188,2367
masculine,0.3656509695290859,0.14760585674713098,0.09814008705975465,0.14760585674713098,0.025722200237435693,2527
