pronoun,neutral_count,masculine_count,feminine_count
they,32630,,
them,28167,,
their,42862,,
theirs,304,,
themself,30,,
themselves,5024,,
he,,30978,
him,,12278,
his,,31351,
himself,,3563,
she,,,27966
her,,,29694
hers,,,242
herself,,,2985
TOTAL SUM,109017,78170,60887
