,inclusive,modern,professional,count,prop_inclusive,prop_modern,prop_professional
pronoun declaration she/her,112.0,26.0,41.0,204.0,0.5490196078431373,0.12745098039215685,0.20098039215686275
pronoun declaration he/him,49.0,19.0,34.0,167.0,0.2934131736526946,0.11377245508982035,0.20359281437125748
pronoun declaration they/them,195.0,11.0,23.0,456.0,0.4276315789473684,0.02412280701754386,0.05043859649122807
neopronoun average,223.0,18.25,19.375,418.375,0.533443137730541,0.04365740179717675,0.046511340102655375
