,inclusive,modern,professional,count,prop_inclusive,prop_modern,prop_professional
pronoun usage her,78.0,37.0,36.0,142.0,0.5492957746478874,0.2605633802816901,0.2535211267605634
pronoun usage his,33.0,19.0,29.0,92.0,0.358695652173913,0.20652173913043478,0.31521739130434784
pronoun usage their,45.0,22.0,22.0,97.0,0.4639175257731959,0.2268041237113402,0.2268041237113402
neopronoun average,62.25,27.0,28.625,118.875,0.5082937727289778,0.23190722341816916,0.24486952908717236
