stem,word,frequency
designstr,designstress,1
alchemistr,alchemistress,1
anointr,anointress,1
tutor,tutoress,1
victor,victoress,1
roast,roastess,1
tailer,taileress,1
orch,orchess,1
italian-jew,italian-jewess,1
kind,kindess,1
fempr,fempress,1
soundselectr,soundselectress,1
story,storyess,1
craftr,craftress,1
swiss,swissess,1
jugendkongr,jugendkongress,1
pushpr,pushpress,1
deactr,deactress,1
hempr,hempress,1
degr,degress,1
blingstr,blingstress,1
clerk,clerkess,1
teen-actr,teen-actress,1
viscount,viscountess,1
tv-host,tv-hostess,1
bench-pr,bench-press,1
mxtr,mxtress,1
hacktr,hacktress,1
hotm,hotmess,1
sitemistr,sitemistress,1
vagabond,vagabondess,1
busni,busniess,1
prosetr,prosetress,1
nerd,nerdess,1
triple-godd,triple-goddess,1
impr,impress,1
cybergodd,cybergoddess,1
soul-tr,soul-tress,1
high-priest,high-priestess,1
pop,popess,1
creater,createress,1
cakestr,cakestress,1
supergodd,supergoddess,1
meiderosactr,meiderosactress,1
magical-priest,magical-priestess,1
janitr,janitress,1
tunestr,tunestress,1
pop-godd,pop-goddess,1
sauntr,sauntress,1
mist,mistess,1
writer,writeress,1
webgodd,webgoddess,1
disney-princ,disney-princess,1
hoopstr,hoopstress,1
mastr,mastress,1
goat-herd,goat-herdess,1
rectr,rectress,1
ancestr,ancestress,1
herd,herdess,1
votr,votress,1
chief,chiefess,1
skywaitr,skywaitress,1
hermitr,hermitress,1
discount,discountess,1
barwaitr,barwaitress,1
sexpriest,sexpriestess,1
full-prof,full-profess,1
prof,profess,1
fiedleractr,fiedleractress,1
developerfreelancerwordpr,developerfreelancerwordpress,1
riest,riestess,1
slackmistr,slackmistress,1
f,fess,1
matr,matress,1
waiter,waiteress,1
ambasadr,ambasadress,1
themestr,themestress,1
reinventr,reinventress,1
actrr,actrress,1
promotr,promotress,1
synthtr,synthtress,1
kactr,kactress,1
singing-actr,singing-actress,1
wine steward,wine stewardess,1
process-sorcer,process-sorceress,1
jahreskongr,jahreskongress,1
powelactr,powelactress,1
workinprogr,workinprogress,1
scrum-mistr,scrum-mistress,1
conspiratr,conspiratress,1
brushmistr,brushmistress,1
fullr,fullress,1
