, ,original gender: masculine,original gender: feminine,overall
0,swapped gender: masculine,0.16312056737588654,0.18803418803418803,0.1744186046511628
1,swapped gender: feminine,0.3829787234042553,0.2564102564102564,0.32558139534883723
