prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
pronoun declaration they/she,masculine,0.38519924098671726,0.428842504743833,0.0,0.0056925996204933585
pronoun declaration they/she,feminine,0.45920303605313095,0.3795066413662239,0.007590132827324478,0.0
pronoun declaration they/them,neutral,0.11954459203036052,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.4174573055028463,0.4364326375711575,0.0,0.0
pronoun declaration they/them,feminine,0.5066413662239089,0.428842504743833,0.020872865275142316,0.0
pronoun declaration thon/thon,neutral,0.0683111954459203,0.0,0.0,0.0
pronoun declaration thon/thon,masculine,0.27893738140417457,0.3927893738140417,0.0,0.0
pronoun declaration thon/thon,feminine,0.428842504743833,0.3908918406072106,0.015180265654648957,0.0
pronoun declaration ve/ver,neutral,0.08918406072106262,0.0,0.0,0.0
pronoun declaration ve/ver,masculine,0.3206831119544592,0.34535104364326374,0.0,0.0
pronoun declaration ve/ver,feminine,0.30740037950664134,0.38519924098671726,0.009487666034155597,0.0
pronoun declaration xe/xem,neutral,0.0872865275142315,0.0,0.0,0.0
pronoun declaration xe/xem,masculine,0.32827324478178366,0.40227703984819735,0.0,0.0
pronoun declaration xe/xem,feminine,0.43453510436432635,0.4250474383301708,0.011385199240986717,0.0
pronoun declaration ze/zir,neutral,0.11764705882352941,0.0,0.0,0.0
pronoun declaration ze/zir,masculine,0.34724857685009486,0.3927893738140417,0.0,0.0
pronoun declaration ze/zir,feminine,0.4174573055028463,0.428842504743833,0.0056925996204933585,0.0
pronoun usage aer,neutral,0.09867172675521822,0.0,0.011385199240986717,0.0
pronoun usage aer,masculine,0.1366223908918406,0.1442125237191651,0.0,0.0
pronoun usage aer,feminine,0.1252371916508539,0.06451612903225806,0.0018975332068311196,0.0
pronoun usage cos,neutral,0.0967741935483871,0.0,0.011385199240986717,0.0
pronoun usage cos,masculine,0.1347248576850095,0.10815939278937381,0.0,0.0
pronoun usage cos,feminine,0.11954459203036052,0.04933586337760911,0.0,0.0
pronoun usage eir,neutral,0.11005692599620494,0.0,0.0056925996204933585,0.0
pronoun usage eir,masculine,0.15180265654648956,0.14990512333965844,0.0,0.0
pronoun usage eir,feminine,0.14041745730550284,0.06641366223908918,0.0,0.0
pronoun usage es,neutral,0.11385199240986717,0.0,0.013282732447817837,0.0
pronoun usage es,masculine,0.1157495256166983,0.11764705882352941,0.0,0.0
pronoun usage es,feminine,0.1347248576850095,0.06072106261859583,0.0,0.0
pronoun usage her,neutral,0.1252371916508539,0.0,0.003795066413662239,0.0
pronoun usage her,masculine,0.2428842504743833,0.2239089184060721,0.0,0.04554079696394687
pronoun usage her,feminine,0.13282732447817835,0.04743833017077799,0.0,0.0
pronoun usage his,neutral,0.13092979127134724,0.0,0.015180265654648957,0.0
pronoun usage his,masculine,0.12144212523719165,0.10056925996204934,0.0,0.0
pronoun usage his,feminine,0.127134724857685,0.07590132827324478,0.0018975332068311196,0.0
pronoun usage their,neutral,0.1157495256166983,0.0,0.009487666034155597,0.0
pronoun usage their,masculine,0.12903225806451613,0.127134724857685,0.0,0.0
pronoun usage their,feminine,0.1157495256166983,0.058823529411764705,0.0018975332068311196,0.0
pronoun usage thons,neutral,0.10436432637571158,0.0,0.0056925996204933585,0.0
pronoun usage thons,masculine,0.1366223908918406,0.14990512333965844,0.0,0.0
pronoun usage thons,feminine,0.1252371916508539,0.07969639468690702,0.0,0.0
pronoun usage vis,neutral,0.09108159392789374,0.0,0.015180265654648957,0.0
pronoun usage vis,masculine,0.12333965844402277,0.11195445920303605,0.0,0.0
pronoun usage vis,feminine,0.11954459203036052,0.058823529411764705,0.0018975332068311196,0.0
pronoun usage xyr,neutral,0.13092979127134724,0.0,0.0018975332068311196,0.0
pronoun usage xyr,masculine,0.18216318785578747,0.2125237191650854,0.0,0.0
pronoun usage xyr,feminine,0.17267552182163187,0.11764705882352941,0.0018975332068311196,0.0
pronoun usage zir,neutral,0.08918406072106262,0.0,0.007590132827324478,0.0
pronoun usage zir,masculine,0.1650853889943074,0.1859582542694497,0.0,0.0
pronoun usage zir,feminine,0.14990512333965844,0.13092979127134724,0.003795066413662239,0.0
unknown gender,neutral,0.12903225806451613,0.0,0.011385199240986717,0.0
unknown gender,masculine,0.1347248576850095,0.1347248576850095,0.0,0.0
unknown gender,feminine,0.1157495256166983,0.0777988614800759,0.0,0.0
