index,stem,words,total_frequency
0,chair,"['chairman', 'chairwoman', 'chairperson']",23719
1,spokes,"['spokesman', 'spokeswoman', 'spokesperson']",8455
2,business,"['businessman', 'businesswoman', 'businessperson']",5359
3,sales,"['salesman', 'salesperson', 'saleswoman']",5319
4,congress,"['congressman', 'congresswoman', 'congressperson']",3458
5,news,"['newsman', 'newswoman', 'newsperson']",2098
6,lay,"['layman', 'layperson', 'laywoman']",1929
7,crafts,"['craftsman', 'craftsperson', 'craftswoman']",1683
8,anchor,"['anchorman', 'anchorwoman', 'anchorperson']",140
