, ,original gender: neutral,original gender: masculine,original gender: feminine,overall
0,swapped gender: neutral,0.0,0.0,0.01282051282051282,0.002849002849002849
1,swapped gender: masculine,0.3875968992248062,0.2152777777777778,0.038461538461538464,0.23931623931623933
2,swapped gender: feminine,0.26356589147286824,0.2152777777777778,0.0,0.18518518518518517
