, ,original gender: neutral,original gender: masculine,original gender: feminine,overall
0,swapped gender: neutral,0.26356589147286824,0.4097222222222222,0.6025641025641025,0.39886039886039887
1,swapped gender: masculine,0.6201550387596899,0.5,0.5128205128205128,0.5470085470085471
2,swapped gender: feminine,0.4108527131782946,0.5138888888888888,0.32051282051282054,0.43304843304843305
